,date,country,continent,value
1,2020-01-22,Afghanistan,Asia,0
2,2020-01-23,Afghanistan,Asia,0
3,2020-01-24,Afghanistan,Asia,0
4,2020-01-25,Afghanistan,Asia,0
5,2020-01-26,Afghanistan,Asia,0
6,2020-01-27,Afghanistan,Asia,0
7,2020-01-28,Afghanistan,Asia,0
8,2020-01-29,Afghanistan,Asia,0
9,2020-01-30,Afghanistan,Asia,0
10,2020-01-31,Afghanistan,Asia,0
11,2020-02-01,Afghanistan,Asia,0
12,2020-02-02,Afghanistan,Asia,0
13,2020-02-03,Afghanistan,Asia,0
14,2020-02-04,Afghanistan,Asia,0
15,2020-02-05,Afghanistan,Asia,0
16,2020-02-06,Afghanistan,Asia,0
17,2020-02-07,Afghanistan,Asia,0
18,2020-02-08,Afghanistan,Asia,0
19,2020-02-09,Afghanistan,Asia,0
20,2020-02-10,Afghanistan,Asia,0
21,2020-02-11,Afghanistan,Asia,0
22,2020-02-12,Afghanistan,Asia,0
23,2020-02-13,Afghanistan,Asia,0
24,2020-02-14,Afghanistan,Asia,0
25,2020-02-15,Afghanistan,Asia,0
26,2020-02-16,Afghanistan,Asia,0
27,2020-02-17,Afghanistan,Asia,0
28,2020-02-18,Afghanistan,Asia,0
29,2020-02-19,Afghanistan,Asia,0
30,2020-02-20,Afghanistan,Asia,0
31,2020-02-21,Afghanistan,Asia,0
32,2020-02-22,Afghanistan,Asia,0
33,2020-02-23,Afghanistan,Asia,0
34,2020-02-24,Afghanistan,Asia,1
35,2020-02-25,Afghanistan,Asia,1
36,2020-02-26,Afghanistan,Asia,1
37,2020-02-27,Afghanistan,Asia,1
38,2020-02-28,Afghanistan,Asia,1
39,2020-02-29,Afghanistan,Asia,1
40,2020-03-01,Afghanistan,Asia,1
41,2020-03-02,Afghanistan,Asia,1
42,2020-03-03,Afghanistan,Asia,2
43,2020-03-04,Afghanistan,Asia,4
44,2020-03-05,Afghanistan,Asia,4
45,2020-03-06,Afghanistan,Asia,4
46,2020-03-07,Afghanistan,Asia,4
47,2020-03-08,Afghanistan,Asia,5
48,2020-03-09,Afghanistan,Asia,7
49,2020-03-10,Afghanistan,Asia,8
50,2020-03-11,Afghanistan,Asia,11
51,2020-03-12,Afghanistan,Asia,12
52,2020-03-13,Afghanistan,Asia,13
53,2020-03-14,Afghanistan,Asia,15
54,2020-03-15,Afghanistan,Asia,16
55,2020-03-16,Afghanistan,Asia,18
56,2020-03-17,Afghanistan,Asia,20
57,2020-03-18,Afghanistan,Asia,24
